file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,118,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,8
style.css,119,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,17
style.css,120,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,25
style.css,121,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,122,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,123,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,0,9
style.css,124,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,12
style.css,125,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,25
style.css,126,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,42
style.css,127,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,9
style.css,128,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,129,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,130,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,24
style.css,131,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,9
style.css,132,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,2,36
style.css,133,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,0
style.css,134,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,135,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,136,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,24
